what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.emf.teneo.orm.eclipse,1.0.0.v201006151458,"org.eclipse.emf.teneo.orm.eclipse",1323535082876
stopped,bundle,org.eclipse.emf.teneo.eclipse,1.1.2.v201006151458,"org.eclipse.emf.teneo.eclipse",1323535082891
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,15.0.0.v201110251216-213216,"overlay.com.android.ide.eclipse.adt.overlay",1323535082904
stopped,bundle,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.adt",1323535082913
stopped,bundle,org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples,2.5.0.200810071,"org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples",1323535082939
stopped,bundle,org.eclipse.datatools.sqltools.schemaobjecteditor.ui.pages,1.1.0.200810071,"org.eclipse.datatools.sqltools.schemaobjecteditor.ui.pages",1323535082947
stopped,bundle,org.eclipse.datatools.sqltools.schemaobjecteditor.ui,1.1.1.200810071,"org.eclipse.datatools.sqltools.schemaobjecteditor.ui",1323535082974
stopped,bundle,org.eclipse.emf.cheatsheets,2.5.0.v20100521-1846,"org.eclipse.emf.cheatsheets",1323535082990
stopped,bundle,org.eclipse.m2m.atl.cheatsheets,3.2.1.v20110914-0724,"org.eclipse.m2m.atl.cheatsheets",1323535083030
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20110516,"org.eclipse.pde.ua.ui",1323535083053
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.2.v201108260345,"org.eclipse.datatools.connectivity.oda.template.ui",1323535083069
stopped,bundle,org.eclipse.datatools.connectivity.ui.templates,1.0.0.v200906020553,"org.eclipse.datatools.connectivity.ui.templates",1323535083082
stopped,bundle,org.eclipse.datatools.sdk,1.7.0.v200906161850,"org.eclipse.datatools.sdk",1323535083082
stopped,bundle,org.eclipse.egf.emf.pattern.ui,0.6.0.v20110909-0922,"org.eclipse.egf.emf.pattern.ui",1323535083089
stopped,bundle,org.eclipse.egf.emf.wrapper.ui,0.6.0.v20110909-0922,"org.eclipse.egf.emf.wrapper.ui",1323535083092
stopped,bundle,org.eclipse.egf.producer.ui,0.6.0.v20110909-0922,"org.eclipse.egf.producer.ui",1323535083092
stopped,bundle,org.eclipse.egf.portfolio.task.ant.ui,0.6.0.v20110909-0922,"org.eclipse.egf.portfolio.task.ant.ui",1323535083125
stopped,bundle,org.eclipse.egf.portfolio.task.jet.ui,0.6.0.v20110909-0922,"org.eclipse.egf.portfolio.task.jet.ui",1323535083135
stopped,bundle,org.eclipse.egf.task.ui,0.6.0.v20110909-0922,"org.eclipse.egf.task.ui",1323535083348
stopped,bundle,org.eclipse.egf.model.editor,0.6.0.v20110909-0922,"org.eclipse.egf.model.editor",1323535083348
stopped,bundle,org.eclipse.egf.pattern.ui.java,0.6.0.v20110909-0922,"org.eclipse.egf.pattern.ui.java",1323535083358
stopped,bundle,org.eclipse.egf.pattern.ui.jet,0.6.0.v20110909-0922,"org.eclipse.egf.pattern.ui.jet",1323535083370
stopped,bundle,org.eclipse.egf.portfolio.genchain.tools.ui,0.6.0.v20110909-0922,"org.eclipse.egf.portfolio.genchain.tools.ui",1323535083410
stopped,bundle,org.eclipse.egf.pattern.ui,0.6.0.v20110909-0922,"org.eclipse.egf.pattern.ui",1323535083497
stopped,bundle,org.eclipse.emf.cdo.dawn.codegen.dawngenmodel.emf.ui,1.0.0.v20110524-1809,"org.eclipse.emf.cdo.dawn.codegen.dawngenmodel.emf.ui",1323535083571
stopped,bundle,org.eclipse.emf.cdo.dawn.codegen.dawngenmodel.editor,1.0.0.v20110524-1809,"org.eclipse.emf.cdo.dawn.codegen.dawngenmodel.editor",1323535083589
stopped,bundle,org.eclipse.emf.cdo.dawn.codegen.dawngenmodel.emf.edit,1.0.0.v20110524-1809,"org.eclipse.emf.cdo.dawn.codegen.dawngenmodel.emf.edit",1323535083615
stopped,bundle,org.eclipse.emf.cdo.dawn.codegen.dawngenmodel.edit,1.0.0.v20110524-1809,"org.eclipse.emf.cdo.dawn.codegen.dawngenmodel.edit",1323535083617
stopped,bundle,org.eclipse.uml2.uml.ecore.exporter,2.4.100.v201008301510,"org.eclipse.uml2.uml.ecore.exporter",1323535083624
stopped,bundle,org.eclipse.xsd.ecore.exporter,2.5.0.v20100521-1855,"org.eclipse.xsd.ecore.exporter",1323535083632
stopped,bundle,org.eclipse.emf.exporter,2.6.0.v20100521-1846,"org.eclipse.emf.exporter",1323535083682
stopped,bundle,org.eclipse.egf.portfolio.genchain.tools,0.6.0.v20110909-0922,"org.eclipse.egf.portfolio.genchain.tools",1323535083798
stopped,bundle,org.eclipse.emf.eef.codegen.ecore,1.0.1.v20110912-0930,"org.eclipse.emf.eef.codegen.ecore",1323535083798
stopped,bundle,org.eclipse.emf.eef.codegen,1.0.1.v20110912-0930,"org.eclipse.emf.eef.codegen",1323535083845
stopped,bundle,org.eclipse.emf.importer.ecore,2.6.0.v20100521-1846,"org.eclipse.emf.importer.ecore",1323535083859
stopped,bundle,org.eclipse.emf.importer.java,2.6.0.v20100521-1846,"org.eclipse.emf.importer.java",1323535083897
